Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pct
2010-04-15,9501.6,9575.25,9330.8,9344.6,16781801,1421.03,-1.6801147186610448
2010-04-16,9345.5,9410.15,9266.15,9353.75,14024845,1120.59,0.08819991981825472
2010-04-19,9273.85,9357.05,9206.0,9302.9,12008514,1043.42,0.3122682174375654
2010-04-20,9314.55,9501.85,9314.55,9446.1,17263565,1536.93,1.3926382316511692
2010-04-21,9477.1,9574.55,9477.1,9555.3,17323311,1641.56,0.8183939803041131
2010-04-22,9534.05,9739.1,9500.15,9623.25,23562266,2678.72,0.9269217779856154
2010-04-23,9653.15,9824.95,9653.15,9813.3,21085662,1781.63,1.6319688585898693
2010-04-26,9890.8,9920.45,9824.75,9839.15,18036619,1644.92,-0.5249437197318838
2010-04-27,9827.0,9827.0,9744.7,9756.45,10979860,987.23,-0.7231113776014766
2010-04-28,9630.35,9723.35,9603.5,9634.9,15025215,1353.48,0.04722415385732361
2010-04-29,9652.6,9822.05,9652.6,9803.8,20643625,1850.64,1.5422591240131267
2010-04-30,9809.4,9923.15,9809.4,9870.35,18705008,1394.67,0.617505964834081
2010-05-03,9809.4,9863.45,9741.5,9775.5,13289323,954.8,-0.3467853306736191
2010-05-04,9816.6,9837.7,9607.45,9623.7,13632832,1184.7,-2.0044265719006167
2010-05-05,9461.35,9609.45,9454.75,9581.85,18029270,1433.54,1.257585956782876
2010-05-06,9588.85,9627.45,9449.75,9582.0,13828188,1188.22,-0.07148820705489839
2010-05-07,9426.65,9444.05,9239.8,9276.1,16890683,1451.93,-1.62298810922693
2010-05-10,9419.5,9684.4,9402.05,9656.25,17358082,1422.28,2.4517799352750806
2010-05-11,9683.2,9733.8,9593.55,9626.1,15580695,1450.23,-0.5931789613654581
2010-05-12,9640.8,9740.85,9587.1,9722.2,16193593,1459.11,0.8372590565921443
2010-05-13,9788.35,9849.05,9748.85,9773.35,15143282,1383.89,-0.15347859229435146
2010-05-14,9738.15,9762.15,9548.2,9589.05,15791023,1801.54,-1.5548985561656303
2010-05-17,9485.35,9551.05,9303.75,9526.5,18822193,1727.33,0.4319529732850431
2010-05-18,9522.15,9572.05,9430.7,9492.25,14357782,1478.05,-0.314993810740337
2010-05-19,9408.7,9408.7,9075.0,9108.35,24421464,2200.73,-3.297523700780057
2010-05-20,9208.3,9251.95,9108.2,9174.6,15807610,1439.5,-0.3673184662001494
2010-05-21,9151.3,9174.9,8969.2,9135.7,14349350,1266.21,-0.17075867202292702
2010-05-24,9524.5,9524.5,9044.55,9087.25,11950621,1091.72,-4.811686703898319
2010-05-25,9023.6,9023.6,8806.65,8851.75,15162573,1238.8,-1.9414240122009814
2010-05-26,8911.4,9037.65,8911.4,9027.6,15773764,1384.81,1.287163808764242
2010-05-27,9007.3,9292.15,8954.35,9258.45,19962141,1806.39,2.712657086229352
2010-05-28,9285.95,9383.95,9215.6,9312.6,14073755,1209.6,0.2861714236625608
2010-05-31,9305.55,9385.3,9257.65,9363.7,11568935,950.24,0.6210151969841137
2010-06-01,9331.85,9334.3,9093.15,9119.05,14957346,1210.21,-2.3335764142098254
2010-06-02,9164.05,9220.2,9083.65,9192.45,11618027,1047.78,0.3089491919999723
2010-06-03,9290.35,9404.1,9288.5,9387.7,12683943,1068.45,1.0369952171458436
2010-06-04,9402.8,9490.95,9363.3,9455.95,14062995,1230.17,0.5620799602366917
2010-06-07,9221.8,9328.15,9192.7,9292.6,12289028,1160.86,0.7618965628564782
2010-06-08,9291.25,9387.1,9143.5,9185.3,14078171,1242.07,-1.1534734848072543
2010-06-09,9195.9,9341.3,9182.45,9238.2,12035977,1216.36,0.45788140546860956
2010-06-10,9233.55,9367.45,9215.35,9346.45,12919251,1358.79,1.2079452626398413
2010-06-11,9428.85,9463.05,9386.7,9451.75,12236838,1234.4,0.24228317507339528
2010-06-14,9496.35,9549.9,9468.75,9534.1,14233098,906.95,0.3959471790730116
2010-06-15,9524.9,9566.3,9422.95,9554.4,9892853,894.7,0.30875826844176507
2010-06-16,9629.65,9629.65,9527.4,9588.9,11870067,1152.09,-0.42497053885221453
2010-06-17,9582.95,9636.8,9446.3,9613.4,19899968,1846.48,0.31674537624564575
2010-06-18,9600.7,9611.55,9544.3,9576.25,12248783,1223.08,-0.2553191489361778
2010-06-21,9626.4,9793.15,9626.4,9758.05,13556781,1186.84,1.3491425028566122
2010-06-22,9739.05,9762.6,9665.3,9675.5,10095247,901.22,-0.6568136013642631
2010-06-23,9622.75,9744.15,9622.1,9718.95,9938750,930.78,0.9898188590331335
2010-06-24,9706.9,9731.5,9617.7,9673.6,34645769,2715.31,-0.34423585841878174
2010-06-25,9627.6,9627.6,9429.7,9451.1,12227451,1158.51,-1.8675074859011118
2010-06-28,9456.1,9551.9,9436.75,9542.2,10187191,881.56,0.9023076439395564
2010-06-29,9513.05,9513.05,9348.4,9381.4,13263247,1158.46,-1.4033086746114614
2010-06-30,9344.0,9486.75,9301.4,9464.6,14983170,1292.37,1.2742218371616376
2010-07-01,9403.95,9412.8,9303.05,9349.4,12190474,1105.26,-0.5834599011701402
2010-07-02,9363.6,9410.3,9330.3,9357.15,10010150,832.38,-0.06893124509066038
2010-07-05,9335.45,9415.85,9312.1,9385.35,6291482,513.33,0.5316796922863786
2010-07-06,9388.7,9564.8,9383.25,9550.9,10627115,899.66,1.69826927305279
2010-07-07,9534.95,9534.95,9430.5,9449.25,9047835,745.81,-0.9069502870598273
2010-07-08,9516.7,9615.15,9516.7,9566.6,11939493,956.97,0.5216064223444028
2010-07-09,9616.6,9726.5,9616.6,9713.7,13834001,1199.75,0.9996190946807124
